set,class,totalcount,,,,,,,,,
all,anoplocephala ,699,,,,,,,,,
all,strongyle ,14755,,,,,,,,,
all,parascaris_equorum ,14108,,,,,,,,,
all,strongyloides_westeri ,36266,,,,,,,,,
all,oxyuris_equi ,74,,,,,,,,,
training,anoplocephala ,550,,,,,,,,,
training,strongyle ,11730,,,,,,,,,
training,parascaris_equorum ,11206,,,,,,,,,
training,strongyloides_westeri ,28904,,,,,,,,,
training,oxyuris_equi ,61,,,,,,,,,
testing,anoplocephala ,149,,,,,,,,,
testing,strongyle ,3025,,,,,,,,,
testing,parascaris_equorum ,2902,,,,,,,,,
testing,strongyloides_westeri ,7362,,,,,,,,,
testing,oxyuris_equi ,13,,,,,,,,,
