iteration,confthreshold,class,ap,tp,fp
462000,10,anoplocephala,90.99,137,28
462000,10,strongyle,94.21,2877,631
462000,10,parascaris_equorum,96.34,2834,607
462000,10,oxyuris_equi,100.00,13,4
462000,10,strongyloides_westeri,91.66,7101,2496
462000,20,anoplocephala,90.99,132,21
462000,20,strongyle,94.21,2835,500
462000,20,parascaris_equorum,96.34,2817,505
462000,20,oxyuris_equi,100.00,13,2
462000,20,strongyloides_westeri,91.66,6964,2038
462000,30,anoplocephala,90.99,132,15
462000,30,strongyle,94.21,2801,437
462000,30,parascaris_equorum,96.34,2792,453
462000,30,oxyuris_equi,100.00,13,1
462000,30,strongyloides_westeri,91.66,6820,1763
462000,40,anoplocephala,90.99,130,12
462000,40,strongyle,94.21,2780,396
462000,40,parascaris_equorum,96.34,2770,396
462000,40,oxyuris_equi,100.00,13,1
462000,40,strongyloides_westeri,91.66,6661,1528
462000,50,anoplocephala,90.99,128,12
462000,50,strongyle,94.21,2745,354
462000,50,parascaris_equorum,96.34,2747,358
462000,50,oxyuris_equi,100.00,12,0
462000,50,strongyloides_westeri,91.66,6488,1316
462000,60,anoplocephala,90.99,125,12
462000,60,strongyle,94.21,2717,328
462000,60,parascaris_equorum,96.34,2715,324
462000,60,oxyuris_equi,100.00,12,0
462000,60,strongyloides_westeri,91.66,6292,1149
462000,70,anoplocephala,90.99,116,11
462000,70,strongyle,94.21,2684,296
462000,70,parascaris_equorum,96.34,2687,284
462000,70,oxyuris_equi,100.00,12,0
462000,70,strongyloides_westeri,91.66,6026,950
462000,80,anoplocephala,90.99,108,9
462000,80,strongyle,94.21,2630,257
462000,80,parascaris_equorum,96.34,2646,238
462000,80,oxyuris_equi,100.00,12,0
462000,80,strongyloides_westeri,91.66,5668,735
462000,90,anoplocephala,90.99,99,8
462000,90,strongyle,94.21,2555,212
462000,90,parascaris_equorum,96.34,2569,180
462000,90,oxyuris_equi,100.00,12,0
462000,90,strongyloides_westeri,91.66,4982,475
